name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,lane_cap,link_type,jam_density,wave_speed,demand_type_code,mode_code,network_design_flag,grade,geometry,original_geometry,map_matching_orientation_code,map_matching_loop_code,additional_lanes_on_left_side,length_of_left_side_lanes,additional_lanes_on_right_side,length_of_right_side_lanes
South Maple Avenue,5591429,,,,41533535,41533538,,2,0.15858,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412392,33.4204775,0.0 -111.9412339,33.4200543,0.0 -111.9412227,33.4191648,0.0 -111.9412375,33.4190521,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591429,,,,41533535,41533533,,2,0.161589,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412392,33.4204775,0.0 -111.9412601,33.4212132,0.0 -111.9412608,33.4219305,0.0</coordinates></LineString>",,,,,,,
West 9th Street,5669184,,,,41533535,41563472,,2,0.105728,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412392,33.4204775,0.0 -111.9417907,33.4204667,0.0 -111.9423782,33.4204732,0.0</coordinates></LineString>",,,,,,,
West 9th Street,5669184,,,,41533535,1698683852,,2,0.110637,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412392,33.4204775,0.0 -111.9406246,33.4204862,0.0 -111.9401519,33.4204962,0.0 -111.9400474,33.4204936,0.0</coordinates></LineString>",,,,,,,
West Rio Salado Parkway,305490059,,,,255819874,2714317975,,1,0.037642,3,-1,,,,,,,,,"<LineString><coordinates>-111.943057,33.4296693,0.0 -111.9428815,33.4293641,0.0</coordinates></LineString>",,,,,,,
West 1st Street,23617739,,,,255819874,41520506,,2,0.11499099999999998,2,-1,,,,,,,,,"<LineString><coordinates>-111.943057,33.4296693,0.0 -111.94331,33.4295574,0.0 -111.9433981,33.4295368,0.0 -111.9434575,33.4295241,0.0 -111.9435008,33.42952,0.0 -111.9435847,33.4295124,0.0 -111.9438891,33.4295138,0.0 -111.9442567,33.4295155,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591429,,,,41533538,41533540,,2,0.159321,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412375,33.4190521,0.0 -111.9412452,33.4189046,0.0 -111.94123,33.4176195,0.0</coordinates></LineString>",,,,,,,
South Maple Avenue,5591429,,,,41533538,41533535,,2,0.15857999999999997,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412375,33.4190521,0.0 -111.9412227,33.4191648,0.0 -111.9412339,33.4200543,0.0 -111.9412392,33.4204775,0.0</coordinates></LineString>",,,,,,,
West 10th Street,5608313,,,,41533538,41563464,,2,0.10738400000000001,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412375,33.4190521,0.0 -111.9417673,33.4190521,0.0 -111.9418209,33.4190521,0.0 -111.9423945,33.4190482,0.0</coordinates></LineString>",,,,,,,
West 10th Street,5608313,,,,41533538,1698683826,,2,0.112263,-1,-1,,,,,,,,,"<LineString><coordinates>-111.9412375,33.4190521,0.0 -111.9405973,33.4190507,0.0 -111.9403101,33.4190557,0.0 -111.9401135,33.419054,0.0 -111.940028,33.4190552,0.0</coordinates></LineString>",,,,,,,
