highway,osmid,ref,x,y,geometry
traffic_signals,1673265522,,116.2891125,39.9061649,POINT (116.2891125 39.9061649)
traffic_signals,1673265523,,116.2774504,39.9062729,POINT (116.2774504 39.9062729)
traffic_signals,1673265524,,116.289111,39.9062841,POINT (116.289111 39.9062841)
traffic_signals,1673265529,,116.2470223,39.9064265,POINT (116.2470223 39.9064265)
traffic_signals,1673265530,,116.2586352,39.9064322,POINT (116.2586352 39.9064322)
,5674451322,,116.3206534,39.9688971,POINT (116.3206534 39.9688971)
,5756453245,,116.3028223,39.9610654,POINT (116.3028223 39.9610654)
traffic_signals,1673265534,,116.2676737,39.9064885,POINT (116.2676737 39.9064885)
traffic_signals,1673265535,,116.2683314,39.9064914,POINT (116.2683314 39.9064914)
,289276287,,116.2705448,39.9690635,POINT (116.2705448 39.9690635)
traffic_signals,1673265537,,116.2774474,39.9064768,POINT (116.2774474 39.9064768)
traffic_signals,1673265538,,116.2891077,39.9065022,POINT (116.2891077 39.9065022)
,3793781117,,116.3553494,39.9529414,POINT (116.3553494 39.9529414)
,1673265543,,116.2984209,39.9073813,POINT (116.2984209 39.9073813)
,1673265544,,116.2961122,39.9076099,POINT (116.2961122 39.9076099)
,1673265552,,116.2774475,39.9088516,POINT (116.2774475 39.9088516)
traffic_signals,1673265553,,116.2890937,39.9088983,POINT (116.2890937 39.9088983)
,528899210,,116.3482463,40.0474073,POINT (116.3482463 40.0474073)
,1673265560,,116.2774336,39.9116039,POINT (116.2774336 39.9116039)
traffic_signals,1673265561,,116.2890817,39.9116662,POINT (116.2890817 39.9116662)
,1673265562,,116.2774365,39.9129889,POINT (116.2774365 39.9129889)
,1673265563,,116.2774368,39.9131297,POINT (116.2774368 39.9131297)
,1673265568,,116.2774437,39.9164155,POINT (116.2774437 39.9164155)
traffic_signals,1673265569,,116.289848,39.9172261,POINT (116.289848 39.9172261)
,1673265570,,116.2774279,39.9183991,POINT (116.2774279 39.9183991)
,2390966689,,116.2411225,40.0245085,POINT (116.2411225 40.0245085)
,2390966691,,116.2403097,40.0245546,POINT (116.2403097 40.0245546)
,1673265573,,116.2773892,39.9191089,POINT (116.2773892 39.9191089)
,2390966692,,116.2428947,40.02494,POINT (116.2428947 40.02494)
traffic_signals,1296155048,,116.2586357,39.9061589,POINT (116.2586357 39.9061589)
,2390966697,,116.2402889,40.0260516,POINT (116.2402889 40.0260516)
,2390966700,,116.23944,40.0261517,POINT (116.23944 40.0261517)
,2390966701,,116.2382268,40.026165,POINT (116.2382268 40.026165)
traffic_signals,1296155054,,116.2470252,39.9061312,POINT (116.2470252 39.9061312)
,2390966702,,116.2363055,40.0261767,POINT (116.2363055 40.0261767)
,2390966706,,116.2382267,40.0270871,POINT (116.2382267 40.0270871)
traffic_signals,1296155059,,116.2468098,39.9062445,POINT (116.2468098 39.9062445)
,2390966711,,116.2363538,40.031724,POINT (116.2363538 40.031724)
,2390966712,,116.2354277,40.0317405,POINT (116.2354277 40.0317405)
,2390966713,,116.2347641,40.0317507,POINT (116.2347641 40.0317507)
,2390966714,,116.2354354,40.0320558,POINT (116.2354354 40.0320558)
,2390966715,,116.236358,40.0322022,POINT (116.236358 40.0322022)
,2390966716,,116.2382266,40.0322066,POINT (116.2382266 40.0322066)
,2390966717,,116.2372507,40.0324557,POINT (116.2372507 40.0324557)
,2390966718,,116.2363471,40.0324756,POINT (116.2363471 40.0324756)
traffic_signals,1296155072,,116.2468134,39.9061306,POINT (116.2468134 39.9061306)
,2390966721,,116.2395524,40.0335099,POINT (116.2395524 40.0335099)
,2390966722,,116.2372943,40.0335964,POINT (116.2372943 40.0335964)
,5105418695,,116.3137418,39.9254345,POINT (116.3137418 39.9254345)
traffic_signals,1296155081,,116.2470226,39.9062478,POINT (116.2470226 39.9062478)
,288195033,,116.2887808,39.9824045,POINT (116.2887808 39.9824045)
,1292894684,,116.3089156,40.0010753,POINT (116.3089156 40.0010753)
,4089037276,,116.2471492,39.9059599,POINT (116.2471492 39.9059599)
,2720498146,,116.3341161,39.9503445,POINT (116.3341161 39.9503445)
,2036531683,,116.2697551,40.0097217,POINT (116.2697551 40.0097217)
,2720498148,,116.3352621,39.9499242,POINT (116.3352621 39.9499242)
,2720498147,,116.3350753,39.9505127,POINT (116.3350753 39.9505127)
,2036531685,,116.2731705,40.0100725,POINT (116.2731705 40.0100725)
,2036531686,,116.2746976,40.01029,POINT (116.2746976 40.01029)
,1292894693,,116.3090263,40.0017886,POINT (116.3090263 40.0017886)
,1292894695,,116.3090191,40.0008384,POINT (116.3090191 40.0008384)
,4895457764,,116.3415151,39.9728252,POINT (116.3415151 39.9728252)
,754516460,,116.3201598,39.909681,POINT (116.3201598 39.909681)
motorway_junction,1101169133,,116.3262314,39.8958692,POINT (116.3262314 39.8958692)
,1101169139,,116.3217557,39.8957015,POINT (116.3217557 39.8957015)
traffic_signals,1292894708,,116.3122971,40.0113687,POINT (116.3122971 40.0113687)
,1101169143,,116.3217413,39.8958424,POINT (116.3217413 39.8958424)
,2368045561,,116.3032382,39.9695521,POINT (116.3032382 39.9695521)
,1101169148,,116.3254647,39.8959967,POINT (116.3254647 39.8959967)
,1292894729,,116.3091293,40.0015824,POINT (116.3091293 40.0015824)
,2418590225,,116.3478211,40.0288281,POINT (116.3478211 40.0288281)
,286278163,,116.3184871,40.0342655,POINT (116.3184871 40.0342655)
,2418590227,,116.3504961,40.0290433,POINT (116.3504961 40.0290433)
,5320294939,,116.3038188,39.9384935,POINT (116.3038188 39.9384935)
,5320294942,,116.2929499,39.9509881,POINT (116.2929499 39.9509881)
,5320294944,,116.2901518,39.9521481,POINT (116.2901518 39.9521481)
,298582561,,116.2899434,40.0422761,POINT (116.2899434 40.0422761)
,5320294945,,116.3441914,39.9875547,POINT (116.3441914 39.9875547)
,5320294946,,116.3443265,39.9856412,POINT (116.3443265 39.9856412)
,1563247138,,116.2824336,40.0462123,POINT (116.2824336 40.0462123)
