name,node_id,zone_id,micro_node_set,control_type,control_type_name,cycle_length_in_second,x,y,geometry
,42323089,,,,,,-111.9645896,33.3590673,"<Point><coordinates>-111.9645896,33.3590673</coordinates></Point>"
,41634961,,,,,,-111.9544215,33.341845,"<Point><coordinates>-111.9544215,33.341845</coordinates></Point>"
,2625359002,,,,,,-111.9398835,33.4174543,"<Point><coordinates>-111.9398835,33.4174543</coordinates></Point>"
,2625359004,,,,,,-111.9398763,33.4176211,"<Point><coordinates>-111.9398763,33.4176211</coordinates></Point>"
,2625359006,,,,,,-111.9399003,33.4190569,"<Point><coordinates>-111.9399003,33.4190569</coordinates></Point>"
,2625359008,,,,,,-111.9399235,33.420491,"<Point><coordinates>-111.9399235,33.420491</coordinates></Point>"
,2625359013,,,,,,-111.9399685,33.4231886,"<Point><coordinates>-111.9399685,33.4231886</coordinates></Point>"
,2625359015,,,,,,-111.9399523,33.4243448,"<Point><coordinates>-111.9399523,33.4243448</coordinates></Point>"
,2625359016,,,,,,-111.9399606,33.425492,"<Point><coordinates>-111.9399606,33.425492</coordinates></Point>"
,2625359017,,,,,,-111.9399641,33.4264662,"<Point><coordinates>-111.9399641,33.4264662</coordinates></Point>"
,5649173675,,,,,,-111.9241738,33.3924504,"<Point><coordinates>-111.9241738,33.3924504</coordinates></Point>"
,2625359021,,,,,,-111.9399633,33.4273851,"<Point><coordinates>-111.9399633,33.4273851</coordinates></Point>"
,2625359028,,,,,,-111.9399635,33.4295773,"<Point><coordinates>-111.9399635,33.4295773</coordinates></Point>"
,42208437,,,,,,-111.9189837,33.3596718,"<Point><coordinates>-111.9189837,33.3596718</coordinates></Point>"
,42208446,,,,,,-111.9194416,33.3549136,"<Point><coordinates>-111.9194416,33.3549136</coordinates></Point>"
,42257602,,,,,,-111.9275118,33.4566659,"<Point><coordinates>-111.9275118,33.4566659</coordinates></Point>"
,41651398,,,,,,-111.9371121,33.3427751,"<Point><coordinates>-111.9371121,33.3427751</coordinates></Point>"
,401886407,,,,,,-111.9512022,33.4106143,"<Point><coordinates>-111.9512022,33.4106143</coordinates></Point>"
,401886408,,,,,,-111.9508863,33.4106177,"<Point><coordinates>-111.9508863,33.4106177</coordinates></Point>"
,41995466,,,,,,-111.9381178,33.419078,"<Point><coordinates>-111.9381178,33.419078</coordinates></Point>"
,41241818,,,,,,-111.9782535,33.4329543,"<Point><coordinates>-111.9782535,33.4329543</coordinates></Point>"
,41651427,,,,,,-111.9438678,33.3427668,"<Point><coordinates>-111.9438678,33.3427668</coordinates></Point>"
,3029060836,,,,,,-111.9615993,33.3806644,"<Point><coordinates>-111.9615993,33.3806644</coordinates></Point>"
,41651429,,,,,,-111.9450741,33.342819,"<Point><coordinates>-111.9450741,33.342819</coordinates></Point>"
,42208491,,,,,,-111.917732,33.4183925,"<Point><coordinates>-111.917732,33.4183925</coordinates></Point>"
,3940273401,,,,,,-111.9503067,33.3492418,"<Point><coordinates>-111.9503067,33.3492418</coordinates></Point>"
,42208517,,,,,,-111.9190011,33.3690506,"<Point><coordinates>-111.9190011,33.3690506</coordinates></Point>"
,42208520,,,,,,-111.9189691,33.3678161,"<Point><coordinates>-111.9189691,33.3678161</coordinates></Point>"
,42208524,,,,,,-111.91898,33.36743,"<Point><coordinates>-111.91898,33.36743</coordinates></Point>"
,5665541390,,,,,,-111.966236,33.392258,"<Point><coordinates>-111.966236,33.392258</coordinates></Point>"
,5665541391,,,,,,-111.965473,33.3914295,"<Point><coordinates>-111.965473,33.3914295</coordinates></Point>"
,5665541392,,,,,,-111.9653573,33.391731,"<Point><coordinates>-111.9653573,33.391731</coordinates></Point>"
,5665541395,,,,,,-111.9654274,33.3922092,"<Point><coordinates>-111.9654274,33.3922092</coordinates></Point>"
,316067093,,,,,,-111.9590358,33.3244695,"<Point><coordinates>-111.9590358,33.3244695</coordinates></Point>"
,5665541398,,,,,,-111.9647592,33.3922157,"<Point><coordinates>-111.9647592,33.3922157</coordinates></Point>"
,5665541399,,,,,,-111.9642106,33.3914722,"<Point><coordinates>-111.9642106,33.3914722</coordinates></Point>"
,5665541401,,,,,,-111.9641396,33.3921962,"<Point><coordinates>-111.9641396,33.3921962</coordinates></Point>"
,5665541402,,,,,,-111.9648714,33.3913545,"<Point><coordinates>-111.9648714,33.3913545</coordinates></Point>"
,5665541407,,,,,,-111.9653917,33.3910405,"<Point><coordinates>-111.9653917,33.3910405</coordinates></Point>"
,5665541408,,,,,,-111.9642503,33.3914543,"<Point><coordinates>-111.9642503,33.3914543</coordinates></Point>"
,42208545,,,,,,-111.917421,33.3811517,"<Point><coordinates>-111.917421,33.3811517</coordinates></Point>"
,5665541413,,,,,,-111.9644396,33.3910524,"<Point><coordinates>-111.9644396,33.3910524</coordinates></Point>"
,42208560,,,,,,-111.9174572,33.3788794,"<Point><coordinates>-111.9174572,33.3788794</coordinates></Point>"
,3643264305,,,,,,-111.9459461,33.3709894,"<Point><coordinates>-111.9459461,33.3709894</coordinates></Point>"
,3643264307,,,,,,-111.9428059,33.3710033,"<Point><coordinates>-111.9428059,33.3710033</coordinates></Point>"
,316738869,,,,,,-111.9643657,33.3964847,"<Point><coordinates>-111.9643657,33.3964847</coordinates></Point>"
,42208565,,,,,,-111.9174561,33.3783516,"<Point><coordinates>-111.9174561,33.3783516</coordinates></Point>"
,42208582,,,,,,-111.9177062,33.4063878,"<Point><coordinates>-111.9177062,33.4063878</coordinates></Point>"
,42208586,,,,,,-111.9177124,33.4053129,"<Point><coordinates>-111.9177124,33.4053129</coordinates></Point>"
,42208591,,,,,,-111.9176176,33.40384,"<Point><coordinates>-111.9176176,33.40384</coordinates></Point>"
